GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES,,
771,195,1619RTA,01-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Journalists (Bangladesh),6,,,0,60,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,23.3494,91.8136,1,Bangladesh Government News,Journalists today staged a street protest in the port city here as a lawmaker lodged a defamation suit against a journalist accusing him of tainting his image. The protest was organised by Bangladesh Federal Union of Journalists (BFUJ).,0,,
771,198,1620RTA,01-February-2017,2017,1,Violence against civilians,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),Bangladesh Awami League,7,37,Bangladesh,Khulna,Narail,Narail Sadar,Narail,23.1657,89.4989,1,The Independent (Bangladesh),A local Awami League (AL) leader was hacked to death by assailants in Mirapara Bazar area under Bhadrabila union of Narail yesterday.,1,,
771,197,1621RTA,02-February-2017,2017,1,Battle-No change of territory,Unidentified Armed Group (Bangladesh),,3,Police Forces of Bangladesh,,1,13,Bangladesh,Khulna,Magura,Magura Sadar,Magura,23.4859,89.4200,2,Bangladesh Government News,A suspected militant was killed in a gunfight with the police in Dhalhara-Binodpur road area in Sadar upazila in the early hours of today.,1,,
771,202,1622RTA,02-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,55,Bangladesh,Rajshahi,Sirajganj,Sirajganj Sadar,Kalibari,24.4643,89.7136,1,The Financial Express (Bangladesh),Two associate bodies of Awami League clashed on Thursday. An injured journalist died on the way to Dhaka on Friday afternoon.,1,,
771,204,1623RTA,02-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),Bangladesh Awami League,5,Rioters (Bangladesh),Bangladesh Awami League,5,55,Bangladesh,Rajshahi,Sirajganj,Shahjadpur,Shahjadpur,24.1750,89.5953,1,The Financial Express (Bangladesh),"On Thursday, there was a clash between supporters of  Awami League president Abdur Rahim (VP Rahim) and those of the party unit's Organising Secretary and Mayor Miru.",1,,
771,199,1624RTA,02-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Journalists (Bangladesh),6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Tejgaon,23.7603,90.3913,1,The Daily Star,"In protest of the assault on two ATN News journalists during January 26 hartal against Rampal power plant, journalists today formed a human chain in Karwan Bazar of Dhaka.",0,,
771,201,1625RTA,03-February-2017,2017,1,Battle-No change of territory,Bangladesh Awami League Militia,,3,Bangladesh Awami League Militia,,3,33,Bangladesh,Khulna,Kushtia,Kushtia Sadar,Kushtia,23.8976,89.1183,2,The Financial Express (Bangladesh),"A man was killed and 10 others were injured in a clash between two groups of Awami League (AL) at Mathpara in Sadar upazila over establishing supremacy in the area on Friday morning. The two rival groups, equipped with arms, attacked each other, leaving Idris dead on the spot and 10 people injured.",1,,
771,203,1626RTA,03-February-2017,2017,1,Violence against civilians,Singhadanga Communal Militia (Bangladesh),,4,Civilians (Bangladesh),,7,47,Bangladesh,Rangpur,Gaibandha,Gobindaganj,Gobindaganj,25.1373,89.3861,2,The Financial Express (Bangladesh),A woman was killed in an attack over a land dispute with her neighbour at Singhadanga village in Gobindaganj upazila under Gaibandha on Friday.,1,,
771,207,1627RTA,04-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Journalists (Bangladesh),6,,,0,60,Bangladesh,Khulna,Jessore,Jessore Sadar,Jessore,23.1783,89.1801,1,The New Nation (Bangladesh),Journalists and cultural activists in Jessore town formed a human chain and protest rally in front of Jessore Press Club on Saturday morning demanding arrest of the mayor.,0,,
771,206,1628RTA,04-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Students (Bangladesh),6,,,0,60,Bangladesh,Rajshahi,Rajshahi,Rajshahi,Rajshahi,24.3629,88.6227,1,The Financial Express (Bangladesh),Students laid siege to RUET's administrative building from Saturday afternoon to Sunday afternoon to protest against a new university rule that required students to complete 33 credits a year in order to be promoted to the next.,0,,
