ConflictID,Incompatibility,Territory,EventID,EventDate,EventType,Side A,Side B,CountryName,Gwno,Region,LocationName,Latitude,Longitude,GeoPrecision,TransferActor
66,1,Angola,10027,6/12/1965,1,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Bengo,Dembo,-7.9166,14.0666,1,
66,1,Angola,10057,11/2/1975,1,Portugese Forces in Angola 1960-1975,UNITA-União Nacional para a Independência Total de Angola,Angola,540,,Nova Redonda,-11.2,13.8333,1,
66,1,Angola,10017,3/4/1961,2,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Uige,Quixiximboa,-7.9666,15.6833,1,
66,1,Angola,10008,7/12/1975,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Lunda Sul,Henrique de Carvalho,-9.65,20.4,1,
66,1,Angola,10037,1/1/1970,4,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Uige,Negage,-7.7666,15.2666,1,
66,1,Angola,10007,7/9/1975,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Uige,Luanda,-7.3833,15.3166,1,
66,1,Angola,10028,1/1/1966,4,Portugese Forces in Angola 1960-1975,FNLA,"Congo, Democratic Republic of (Zaire)",490,Shaba,Lubumbashi,-11.6666,27.4666,1,
66,1,Angola,10014,3/1/1961,1,Portugese Forces in Angola 1960-1975,FNLA,"Congo, Democratic Republic of (Zaire)",490,Bas-Zaire,Kinkuzu,-4.9666,14.4666,1,
66,1,Angola,10058,11/1/1974,1,Portugese Forces in Angola 1960-1975,FLEC-FAC,Angola,540,,Massabi,-4.9666,12.0833,1,
66,1,Angola,10006,2/2/1975,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Uige,Luanda,-7.3833,15.3166,1,
66,1,Angola,10025,8/27/1963,1,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Cabinda,Cabinda,-5.55,12.2,1,
66,1,Angola,10059,11/18/1974,1,Portugese Forces in Angola 1960-1975,FLEC-FAC,Angola,540,,Massabi,-4.9666,12.0833,1,
66,1,Angola,10039,3/1/1972,1,Portugese Forces in Angola 1960-1975,FNLA,"Congo, Democratic Republic of (Zaire)",490,Bas-Zaire,Kinkuzu,-4.9666,14.4666,1,
66,1,Angola,10015,3/2/1961,2,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Uige,Maquela do Zombo,-6.0666,15.1,1,FNLA
66,1,Angola,10026,11/12/1963,1,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,,Noqui,-5.85,13.4333,1,
66,1,Angola,10005,2/1/1975,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Uige,Luanda,-7.3833,15.3166,1,
66,1,Angola,10012,8/11/1975,2,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Uige,Luanda,-7.3833,15.3166,1,MPLA-Movimento Popular de Libertação de Angola
66,1,Angola,10010,7/16/1975,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Namibe,Luso,-14.9,12.7666,1,
66,1,Angola,10023,8/2/1963,1,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Bengo,Mucondo,-8.25,14.5333,1,
66,1,Angola,10004,11/1/1974,2,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Cabinda,Cabinda,-5.55,12.2,1,MPLA-Movimento Popular de Libertação de Angola
66,1,Angola,10013,3/1/1961,2,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Uige,Quixiximboa,-7.9666,15.6833,1,FNLA
66,1,Angola,10003,3/20/1967,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,,Lobito Bay,-12.3333,13.5666,1,
66,1,Angola,10024,8/3/1963,1,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Bengo,Cavinga,-7.8,13.4333,1,
66,1,Angola,10021,7/3/1963,3,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Zaire,Bessa Monteiro,-7.15,13.65,1,Portugese Forces in Angola
66,1,Angola,10041,6/1/1974,1,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Moxico,Texeira-de Susa,-10.7,22.2333,1,
66,1,Angola,10002,9/1/1966,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,,Massabi,-4.9666,12.0833,1,
66,1,Angola,10011,7/27/1975,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Uige,Luanda,-7.3833,15.3166,1,
66,1,Angola,10022,8/1/1963,1,Portugese Forces in Angola 1960-1975,FNLA,Angola,540,Bengo,Nambuangongo,-8.0166,14.2,1,
66,1,Angola,10001,5/5/1965,1,Portugese Forces in Angola 1960-1975,MPLA-Movimento Popular de Libertação de Angola,Angola,540,Cabinda,Cabinda,-5.55,12.2,1,
