"country","indicator","Unit","Date","Value"
"Angola","Rank","rank, lowest=""Very Clean""","2002",98
"Angola","Rank","rank, lowest=""Very Clean""","2003",124
"Angola","Rank","rank, lowest=""Very Clean""","2004",133
"Angola","Rank","rank, lowest=""Very Clean""","2005",151
"Angola","Rank","rank, lowest=""Very Clean""","2006",142
"Angola","Rank","rank, lowest=""Very Clean""","2007",147
"Angola","Rank","rank, lowest=""Very Clean""","2008",158
"Angola","Rank","rank, lowest=""Very Clean""","2009",162
"Angola","Rank","rank, lowest=""Very Clean""","2010",168
"Angola","Rank","rank, lowest=""Very Clean""","2011",168
"Angola","Rank","rank, lowest=""Very Clean""","2012",157
"Angola","Rank","rank, lowest=""Very Clean""","2013",153
"Angola","Rank","rank, lowest=""Very Clean""","2014",161
"Angola","Rank","rank, lowest=""Very Clean""","2015",163
"Angola","Rank","rank, lowest=""Very Clean""","2016",164
"Angola","Regional Rank","rank, lowest=""Very Clean""","2010",42
"Angola","Regional Rank","rank, lowest=""Very Clean""","2011",42
"Angola","Regional Rank","rank, lowest=""Very Clean""","2012",41
"Angola","Regional Rank","rank, lowest=""Very Clean""","2013",38
"Angola","Regional Rank","rank, lowest=""Very Clean""","2014",43
"Angola","CPI Score","score, 100=""Very Clean""","2002",17
"Angola","CPI Score","score, 100=""Very Clean""","2003",18
"Angola","CPI Score","score, 100=""Very Clean""","2004",20
"Angola","CPI Score","score, 100=""Very Clean""","2005",20
"Angola","CPI Score","score, 100=""Very Clean""","2006",22
"Angola","CPI Score","score, 100=""Very Clean""","2007",22
"Angola","CPI Score","score, 100=""Very Clean""","2008",19
"Angola","CPI Score","score, 100=""Very Clean""","2009",19
"Angola","CPI Score","score, 100=""Very Clean""","2010",19
"Angola","CPI Score","score, 100=""Very Clean""","2011",20.05035
"Angola","CPI Score","score, 100=""Very Clean""","2012",22
"Angola","CPI Score","score, 100=""Very Clean""","2013",23
"Angola","CPI Score","score, 100=""Very Clean""","2014",19
"Angola","CPI Score","score, 100=""Very Clean""","2015",15
"Angola","CPI Score","score, 100=""Very Clean""","2016",18
"Angola","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2010",18
"Angola","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2011",18.41519
"Angola","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2012",20
"Angola","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2013",18
"Angola","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2014",16
"Angola","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2015",12.03
"Angola","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2016",15
"Angola","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2010",20
"Angola","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2011",21.74484
"Angola","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2012",25
"Angola","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2013",28
"Angola","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2014",22
"Angola","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2015",17.97
"Angola","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2016",21
"Burundi","Rank","rank, lowest=""Very Clean""","2005",130
"Burundi","Rank","rank, lowest=""Very Clean""","2006",130
"Burundi","Rank","rank, lowest=""Very Clean""","2007",131
"Burundi","Rank","rank, lowest=""Very Clean""","2008",158
"Burundi","Rank","rank, lowest=""Very Clean""","2009",168
"Burundi","Rank","rank, lowest=""Very Clean""","2010",170
"Burundi","Rank","rank, lowest=""Very Clean""","2011",172
"Burundi","Rank","rank, lowest=""Very Clean""","2012",165
"Burundi","Rank","rank, lowest=""Very Clean""","2013",157
"Burundi","Rank","rank, lowest=""Very Clean""","2014",159
"Burundi","Rank","rank, lowest=""Very Clean""","2015",150
"Burundi","Rank","rank, lowest=""Very Clean""","2016",159
"Burundi","Regional Rank","rank, lowest=""Very Clean""","2010",44
"Burundi","Regional Rank","rank, lowest=""Very Clean""","2011",45
"Burundi","Regional Rank","rank, lowest=""Very Clean""","2012",45
"Burundi","Regional Rank","rank, lowest=""Very Clean""","2013",41
"Burundi","Regional Rank","rank, lowest=""Very Clean""","2014",42
"Burundi","CPI Score","score, 100=""Very Clean""","2005",23
"Burundi","CPI Score","score, 100=""Very Clean""","2006",24
"Burundi","CPI Score","score, 100=""Very Clean""","2007",25
"Burundi","CPI Score","score, 100=""Very Clean""","2008",19
"Burundi","CPI Score","score, 100=""Very Clean""","2009",18
"Burundi","CPI Score","score, 100=""Very Clean""","2010",18
"Burundi","CPI Score","score, 100=""Very Clean""","2011",19.35236
"Burundi","CPI Score","score, 100=""Very Clean""","2012",19
"Burundi","CPI Score","score, 100=""Very Clean""","2013",21
"Burundi","CPI Score","score, 100=""Very Clean""","2014",20
"Burundi","CPI Score","score, 100=""Very Clean""","2015",21
"Burundi","CPI Score","score, 100=""Very Clean""","2016",20
"Burundi","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2010",16
"Burundi","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2011",17.17447
"Burundi","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2012",14
"Burundi","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2013",17
"Burundi","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2014",14
"Burundi","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2015",16.149
"Burundi","CPI Score, Lower Bound, 90% Confidence Interval","score, 100=""Very Clean""","2016",18
"Burundi","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2010",20
"Burundi","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2011",21.76514
"Burundi","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2012",23
"Burundi","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2013",25
"Burundi","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2014",26
"Burundi","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2015",25.851
"Burundi","CPI Score, Upper Bound, 90% Confidence Interval","score, 100=""Very Clean""","2016",23
"Central African Republic","Rank","rank, lowest=""Very Clean""","2006",130
"Central African Republic","Rank","rank, lowest=""Very Clean""","2007",162
"Central African Republic","Rank","rank, lowest=""Very Clean""","2008",151
"Central African Republic","Rank","rank, lowest=""Very Clean""","2009",158
"Central African Republic","Rank","rank, lowest=""Very Clean""","2010",154
"Central African Republic","Rank","rank, lowest=""Very Clean""","2011",154
"Central African Republic","Rank","rank, lowest=""Very Clean""","2012",144
"Central African Republic","Rank","rank, lowest=""Very Clean""","2013",144
"Central African Republic","Rank","rank, lowest=""Very Clean""","2014",150
"Central African Republic","Rank","rank, lowest=""Very Clean""","2015",145
"Central African Republic","Rank","rank, lowest=""Very Clean""","2016",159
"Central African Republic","Regional Rank","rank, lowest=""Very Clean""","2010",35
"Central African Republic","Regional Rank","rank, lowest=""Very Clean""","2011",35
"Central African Republic","Regional Rank","rank, lowest=""Very Clean""","2012",35
