age,sex,goo,coo,doa,famsize,bro,sis,sib,po,ind,ref,rei,res,dis,gov,cit,hfd,ffd,ad1,ad2,ad3,ad4,ad5,adp,a1,a2,a3,d1,d2,d3,p1,p2,p3,p4,p5,p6
9,male,Levant,,2011,7,,,,Carpenter,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,1,1,1,-1,0,1,1,0,0,1,0,1,1,0,0
9,male,Syria,,2011,6,,,,Carpenter,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8,female,Daraa ,,2012,5,,4,,Dead,,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,1,0,0,0
10,female,Daraa ,,2012,5,,4,,Dead,,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
6,male,Rif Dimashq,,,6,3,1,,Dead,,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
9,male,Rif Dimashq,,,6,3,5,,Dead,,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
9,female,Homs,,2013,6,1,2,,Driver,Blue Collar,0,1,0,,,Abu Nsair,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
11,male,Homs,,2013,6,,3,,Driver,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,0,1,1,1,0,0,0,0,0,0,0
7,female,Rif Dimashq,,2013,7,,,,Farmer,Agriculture,0,1,0,,,Abu Nsair,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9,female,Rif Dimashq,,2013,,,,,Farmer,Agriculture,0,1,0,,,Abu Nsair,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
7,female,Rif-Aleppo,,2013,,,,,Farmer,Agriculture,0,1,0,,,Abu Nsair,1,1,1,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0
8,male,Daraa ,,2012,5,1,2,,Free Syrian Army,Military,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0
10,male,Daraa ,,,6,1,3,,Free Syrian Army,Military,0,1,0,,,Abu Nsair,1,1,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
9,female,Rif Dimashq,Ghouta,2013,,,,,Gas Station,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0
6,male,Rif Dimashq,Ghouta,2013,,,,,Gas Station,Blue Collar,0,1,0,,,Abu Nsair,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
9,female,Rif Dimashq,,2012,,,,,Imam,Religious,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0
8,female,Syria,,,2,1,1,,Labor Electrician,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,0
9,female,,,,4,1,2,,Labor Electrician,Blue Collar,0,1,0,,,Abu Nsair,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,female,Rif Dimashq,,2012,6,,,,Maintenance,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
7,female,Levant,,,5,1,1,,N/A,N/A,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0
6,female,Rif-Aleppo,,,8,3,5,,N/A,N/A,0,1,0,,,Abu Nsair,1,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,1,1,0,0,1
10,female,Syria,,2012,4,3,1,,N/A,N/A,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,-1,0,0,1,0,0,0,1,1,0,0
9,female,Rif-Aleppo,,,8,3,5,,Plaster Master,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,1,1,1,-1,0,1,0,1,0,1,0,0,0,0,0
10,male,Rif-Aleppo,,2013,,,,,Plaster Master,Blue Collar,0,1,0,,,Abu Nsair,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,female,Daraa ,,2012,,,,,Police,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6,female,Jordan,,,6,,,,Repair Phones,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,0,1,0,0,0,1,0,1,0,0,0
9,female,Jordan,,,6,,,,Repair Phones,Blue Collar,0,1,0,,,Abu Nsair,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,male,Rif Dimashq,,,,,,,Retail,Blue Collar,0,1,0,,,Abu Nsair,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,male,Syria,,2014,6,,,,Retail Cars,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
6,male,Spain,,,4,,1,,Retail Food,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,1,1,1,-1,0,0,1,0,0,0,0,0,0,0,0
7,male,Levant,,,7,2,2,,Trucker,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,female,Syria,,2012,6,,,,Trucker,Blue Collar,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0
10,female,Homs,,,6,,,,,,0,1,0,,,Abu Nsair,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,female,,,,,,,,,,0,1,0,,,Abu Nsair,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0
9,female,,,,,,,,,,0,1,0,,,Abu Nsair,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
6,male,,,,,,,,,,0,1,0,,,Abu Nsair,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,0
9,,,,,,,,,,,0,1,0,,,Abu Nsair,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,female,Damascus,,,5,,,,Barber,Blue Collar,0,1,0,,,Amman,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,female,Homs,,2014,8,,,,Blacksmith,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
9,female,Aleppo,,2015,8,,,,Carpenter,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,1,1,0,0,1,0,1,0,0,1
8,female,Damascus,,2013,8,,,,Carpenter,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
8,male,Aleppo,,2014,6,,,,Carpenter ,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,1,0,-1,-1,0,0,0,0,1,0,0,0,0,0
8,female,Damascus,,2014,7,,,,Chef,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,1,1,-1,-1,1,0,0,1,0,0,0,0,0,
9,male,Damascus,,2014,7,,,,Chef,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0
8,male,Damascus,Darayya,2014,6,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0
6,female,Aleppo,,2014,6,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,1,1,0,0,0,1,0,-1,0,0,0,1,1,0,1,0,0,0
7,female,Aleppo,,2014,6,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
7,female,Aleppo,,2014,6,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,0
7,female,Aleppo,,2014,6,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
7,female,Aleppo,,2014,4,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
11,female,Aleppo,,2014,7,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,
6,male,Aleppo,,2014,7,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0
6,male,Aleppo,,2014,8,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0
6,male,Aleppo,,2014,6,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,1,0,-1,0,0,1,0,0,1,0,0,0,0,0
7,male,Aleppo,,2014,6,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,1,1,-1,0,0,1,0,0,1,0,0,0,0,0
7,male,Aleppo,,2014,7,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
10,male,Aleppo,,2014,7,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0
7,female,Homs,,2015,8,,,,Construction,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,1
5,male,Aleppo,,2013,6,3,0,3,Cooking,Blue Collar,0,1,0,,,Amman,1,0,1,1,0,0,0,1,0,0,1,0,0,0,.,.,.,.,.,0
6,male,Aleppo,,2013,6,3,0,3,Cooking,Blue Collar,0,1,0,,,Amman,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
7,male,Aleppo,,2013,6,3,0,3,Cooking,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,1,0,1,-1,0,0,0,0,0,1,0,1,0,0,0
10,male,Aleppo,,2013,6,3,0,3,Cooking,Blue Collar,0,1,0,,,Amman,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,female,Daraa,,2013,8,,,,Dead,,0,1,0,,,Amman,1,1,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0
9,male,Aleppo,,2014,6,,,,Driver,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
9,female,,,,8,,,,Driver,Blue Collar,0,1,0,,,Amman,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
11,female,,,,8,,,,Driver,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
10,female,Aleppo,,2014,8,,,,Farmer,Agriculture,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
10,male,Aleppo,,2014,6,,,,Farmer,Agriculture,0,1,0,,,Amman,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0
8,male,Aleppo,,2013,5,,,,Food Industry,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12,female,Damascus,,2014,7,,,,Food Industry,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,-1,1,0,1,0,1,0,0,0,0,0
9,male,Damascus,,2016,5,,,,Food Industry,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,1,0,0,1,0,0,0,0,0
8,female,Homs,,2014,5,,,,Food Industry,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
