"location","variable","Unit","Date","Value"
"Angola","Total area","1000 ha","1962",124670
"Angola","Total area","1000 ha","1967",124670
"Angola","Total area","1000 ha","1972",124670
"Angola","Total area","1000 ha","1977",124670
"Angola","Total area","1000 ha","1982",124670
"Angola","Total area","1000 ha","1987",124670
"Angola","Total area","1000 ha","1992",124670
"Angola","Total area","1000 ha","1997",124670
"Angola","Total area","1000 ha","2002",124670
"Angola","Total area","1000 ha","2007",124670
"Angola","Total area","1000 ha","2012",124670
"Angola","Total area","1000 ha","2013",124670
"Angola","Arable land","1000 ha","1962",2700
"Angola","Arable land","1000 ha","1967",2830
"Angola","Arable land","1000 ha","1972",2900
"Angola","Arable land","1000 ha","1977",2900
"Angola","Arable land","1000 ha","1982",2900
"Angola","Arable land","1000 ha","1987",2900
"Angola","Arable land","1000 ha","1992",3000
"Angola","Arable land","1000 ha","1997",3000
"Angola","Arable land","1000 ha","2002",3100
"Angola","Arable land","1000 ha","2007",3400
"Angola","Arable land","1000 ha","2012",4700
"Angola","Arable land","1000 ha","2013",4900
"Angola","Permanent crops","1000 ha","1962",500
"Angola","Permanent crops","1000 ha","1967",500
"Angola","Permanent crops","1000 ha","1972",500
"Angola","Permanent crops","1000 ha","1977",500
"Angola","Permanent crops","1000 ha","1982",500
"Angola","Permanent crops","1000 ha","1987",500
"Angola","Permanent crops","1000 ha","1992",500
"Angola","Permanent crops","1000 ha","1997",500
"Angola","Permanent crops","1000 ha","2002",290
"Angola","Permanent crops","1000 ha","2007",290
"Angola","Permanent crops","1000 ha","2012",290
"Angola","Permanent crops","1000 ha","2013",290
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","1962",3200
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","1967",3330
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","1972",3400
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","1977",3400
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","1982",3400
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","1987",3400
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","1992",3500
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","1997",3500
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","2002",3390
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","2007",3690
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","2012",4990
"Angola","Cultivated area (arable land + permanent crops)","1000 ha","2013",5190
"Angola","% of total country area cultivated","%","1962",2.567
"Angola","% of total country area cultivated","%","1967",2.671
"Angola","% of total country area cultivated","%","1972",2.727
"Angola","% of total country area cultivated","%","1977",2.727
"Angola","% of total country area cultivated","%","1982",2.727
"Angola","% of total country area cultivated","%","1987",2.727
"Angola","% of total country area cultivated","%","1992",2.807
"Angola","% of total country area cultivated","%","1997",2.807
"Angola","% of total country area cultivated","%","2002",2.719
"Angola","% of total country area cultivated","%","2007",2.96
"Angola","% of total country area cultivated","%","2012",4.003
"Angola","% of total country area cultivated","%","2013",4.163
"Angola","Total population","1000 inhab","1962",5466
"Angola","Total population","1000 inhab","1967",5963
"Angola","Total population","1000 inhab","1972",6588
"Angola","Total population","1000 inhab","1977",7501
"Angola","Total population","1000 inhab","1982",8808
"Angola","Total population","1000 inhab","1987",10286
"Angola","Total population","1000 inhab","1992",11849
"Angola","Total population","1000 inhab","1997",13802
"Angola","Total population","1000 inhab","2002",16110
"Angola","Total population","1000 inhab","2007",19184
"Angola","Total population","1000 inhab","2012",22686
"Angola","Total population","1000 inhab","2014",22137
"Angola","Total population","1000 inhab","2015",25022
"Angola","Rural population","1000 inhab","1962",4889
"Angola","Rural population","1000 inhab","1967",5208
"Angola","Rural population","1000 inhab","1972",5607
"Angola","Rural population","1000 inhab","1977",6227
"Angola","Rural population","1000 inhab","1982",7101
"Angola","Rural population","1000 inhab","1987",8018
"Angola","Rural population","1000 inhab","1992",8892
"Angola","Rural population","1000 inhab","1997",9930
"Angola","Rural population","1000 inhab","2002",11064
"Angola","Rural population","1000 inhab","2007",12502
"Angola","Rural population","1000 inhab","2012",14004
"Angola","Rural population","1000 inhab","2014",8526
"Angola","Rural population","1000 inhab","2015",14970
"Angola","Urban population","1000 inhab","1962",577
"Angola","Urban population","1000 inhab","1967",755.3
"Angola","Urban population","1000 inhab","1972",981.2
"Angola","Urban population","1000 inhab","1977",1274
"Angola","Urban population","1000 inhab","1982",1707
"Angola","Urban population","1000 inhab","1987",2268
"Angola","Urban population","1000 inhab","1992",2957
"Angola","Urban population","1000 inhab","1997",3872
"Angola","Urban population","1000 inhab","2002",5046
"Angola","Urban population","1000 inhab","2007",6682
"Angola","Urban population","1000 inhab","2012",8682
"Angola","Urban population","1000 inhab","2014",13611
"Angola","Urban population","1000 inhab","2015",10052
"Angola","Population density","inhab/km2","1962",4.384
"Angola","Population density","inhab/km2","1967",4.783
"Angola","Population density","inhab/km2","1972",5.284
"Angola","Population density","inhab/km2","1977",6.017
"Angola","Population density","inhab/km2","1982",7.065
"Angola","Population density","inhab/km2","1987",8.251
"Angola","Population density","inhab/km2","1992",9.504
"Angola","Population density","inhab/km2","1997",11.07
"Angola","Population density","inhab/km2","2002",12.92
"Angola","Population density","inhab/km2","2007",15.39
"Angola","Population density","inhab/km2","2012",18.2
"Angola","Population density","inhab/km2","2015",20.07
"Angola","Population economically active","1000 inhab","1982",3562
"Angola","Population economically active","1000 inhab","1987",4138
"Angola","Population economically active","1000 inhab","1992",4743
"Angola","Population economically active","1000 inhab","1997",5520
"Angola","Population economically active","1000 inhab","2002",6479
"Angola","Population economically active","1000 inhab","2007",7799
"Angola","Population economically active","1000 inhab","2012",9305
"Angola","Population economically active","1000 inhab","2014",9930
"Angola","Population economically active in agriculture","1000 inhab","1982",2700
"Angola","Population economically active in agriculture","1000 inhab","1987",3102
"Angola","Population economically active in agriculture","1000 inhab","1992",3513
"Angola","Population economically active in agriculture","1000 inhab","1997",4004
"Angola","Population economically active in agriculture","1000 inhab","2002",4615
"Angola","Population economically active in agriculture","1000 inhab","2007",5457
"Angola","Population economically active in agriculture","1000 inhab","2012",6395
"Angola","Population economically active in agriculture","1000 inhab","2014",6772
"Angola","Male population economically active in agriculture","1000 inhab","1982",1281
"Angola","Male population economically active in agriculture","1000 inhab","1987",1463
"Angola","Male population economically active in agriculture","1000 inhab","1992",1627
"Angola","Male population economically active in agriculture","1000 inhab","1997",1891
"Angola","Male population economically active in agriculture","1000 inhab","2002",2154
"Angola","Male population economically active in agriculture","1000 inhab","2007",2504
"Angola","Male population economically active in agriculture","1000 inhab","2012",2864
"Angola","Male population economically active in agriculture","1000 inhab","2014",3010
"Angola","Female population economically active in agriculture","1000 inhab","1982",1419
"Angola","Female population economically active in agriculture","1000 inhab","1987",1639
"Angola","Female population economically active in agriculture","1000 inhab","1992",1886
"Angola","Female population economically active in agriculture","1000 inhab","1997",2113
"Angola","Female population economically active in agriculture","1000 inhab","2002",2461
"Angola","Female population economically active in agriculture","1000 inhab","2007",2953
"Angola","Female population economically active in agriculture","1000 inhab","2012",3531
"Angola","Female population economically active in agriculture","1000 inhab","2014",3762
"Angola","Gross Domestic Product (GDP)","current US$","1987",6666666667
"Angola","Gross Domestic Product (GDP)","current US$","1992",5652173913
"Angola","Gross Domestic Product (GDP)","current US$","1997",7648377524
"Angola","Gross Domestic Product (GDP)","current US$","2002",12497346041
"Angola","Gross Domestic Product (GDP)","current US$","2007",60448887583
"Angola","Gross Domestic Product (GDP)","current US$","2012",115000000000
"Angola","Gross Domestic Product (GDP)","current US$","2014",131000000000
"Angola","GDP per capita","current US$/inhab","1987",648.1
"Angola","GDP per capita","current US$/inhab","1992",477
"Angola","GDP per capita","current US$/inhab","1997",554.1
"Angola","GDP per capita","current US$/inhab","2002",775.8
"Angola","GDP per capita","current US$/inhab","2007",3151
"Angola","GDP per capita","current US$/inhab","2012",5069
"Angola","GDP per capita","current US$/inhab","2014",5235
"Angola","Agriculture, value added to GDP","%","1987",0
"Angola","Agriculture, value added to GDP","%","1992",11.54
"Angola","Agriculture, value added to GDP","%","1997",9.002
"Angola","Agriculture, value added to GDP","%","2002",9.359
"Angola","Agriculture, value added to GDP","%","2007",7.86
"Angola","Agriculture, value added to GDP","%","2012",7.189
"Angola","Agriculture, value added to GDP","%","2014",9.436
"Angola","Human Development Index (HDI) [highest = 1]","","2000",0.3897
"Angola","Human Development Index (HDI) [highest = 1]","","2005",0.4458
"Angola","Human Development Index (HDI) [highest = 1]","","2012",0.5242
"Angola","Human Development Index (HDI) [highest = 1]","","2013",0.5263
"Angola","Human Development Index (HDI) [highest = 1]","","2014",0.5316
"Angola","Prevalence of undernourishment (3-year average)","%","1992",63.3
"Angola","Prevalence of undernourishment (3-year average)","%","1997",59.4
"Angola","Prevalence of undernourishment (3-year average)","%","2002",48.8
"Angola","Prevalence of undernourishment (3-year average)","%","2007",31.2
"Angola","Prevalence of undernourishment (3-year average)","%","2012",19.2
"Angola","Prevalence of undernourishment (3-year average)","%","2014",18
"Angola","Number people undernourished (3-year average)","%","1992",6800
"Angola","Number people undernourished (3-year average)","%","1997",7400
"Angola","Number people undernourished (3-year average)","%","2002",7000
"Angola","Number people undernourished (3-year average)","%","2007",5300
"Angola","Number people undernourished (3-year average)","%","2012",3900
"Angola","Number people undernourished (3-year average)","%","2014",3900
"Angola","Long-term average precipitation in depth","mm/yr","1962",1010
"Angola","Long-term average precipitation in depth","mm/yr","1967",1010
"Angola","Long-term average precipitation in depth","mm/yr","1972",1010
"Angola","Long-term average precipitation in depth","mm/yr","1977",1010
"Angola","Long-term average precipitation in depth","mm/yr","1982",1010
"Angola","Long-term average precipitation in depth","mm/yr","1987",1010
"Angola","Long-term average precipitation in depth","mm/yr","1992",1010
"Angola","Long-term average precipitation in depth","mm/yr","1997",1010
"Angola","Long-term average precipitation in depth","mm/yr","2002",1010
"Angola","Long-term average precipitation in depth","mm/yr","2007",1010
"Angola","Long-term average precipitation in depth","mm/yr","2012",1010
"Angola","Long-term average precipitation in depth","mm/yr","2014",1010
"Angola","Long-term average precipitation in volume","10^9 m3/yr","1962",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","1967",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","1972",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","1977",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","1982",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","1987",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","1992",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","1997",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","2002",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","2007",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","2012",1259
"Angola","Long-term average precipitation in volume","10^9 m3/yr","2014",1259
"Angola","National Rainfall Index (NRI)","mm/yr","1967",1114
"Angola","National Rainfall Index (NRI)","mm/yr","1970",1163
"Angola","National Rainfall Index (NRI)","mm/yr","1975",1149
"Angola","National Rainfall Index (NRI)","mm/yr","1982",1024
"Angola","National Rainfall Index (NRI)","mm/yr","1986",1110
"Angola","National Rainfall Index (NRI)","mm/yr","1990",1122
"Angola","National Rainfall Index (NRI)","mm/yr","1994",1080
"Angola","National Rainfall Index (NRI)","mm/yr","1999",1137
"Angola","Surface water produced internally","10^9 m3/yr","1962",145
"Angola","Surface water produced internally","10^9 m3/yr","1967",145
"Angola","Surface water produced internally","10^9 m3/yr","1972",145
"Angola","Surface water produced internally","10^9 m3/yr","1977",145
"Angola","Surface water produced internally","10^9 m3/yr","1982",145
"Angola","Surface water produced internally","10^9 m3/yr","1987",145
"Angola","Surface water produced internally","10^9 m3/yr","1992",145
"Angola","Surface water produced internally","10^9 m3/yr","1997",145
"Angola","Surface water produced internally","10^9 m3/yr","2002",145
"Angola","Surface water produced internally","10^9 m3/yr","2007",145
"Angola","Surface water produced internally","10^9 m3/yr","2012",145
"Angola","Surface water produced internally","10^9 m3/yr","2014",145
"Angola","Groundwater produced internally","10^9 m3/yr","1962",58
"Angola","Groundwater produced internally","10^9 m3/yr","1967",58
