"country","item","element","Unit","Date","Value"
"Angola","Avocados","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",68500
"Angola","Avocados","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",66900
"Angola","Avocados","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",49000
"Angola","Avocados","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",68290
"Angola","Avocados","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",68210
"Angola","Avocados","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",68500
"Angola","Avocados","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",66900
"Angola","Avocados","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",49000
"Angola","Avocados","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",68290
"Angola","Avocados","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",68210
"Angola","Avocados","Producer Price (US $/tonne)","US $/tonne","2010",745.456524
"Angola","Avocados","Producer Price (US $/tonne)","US $/tonne","2011",712.2
"Angola","Avocados","Producer Price (US $/tonne)","US $/tonne","2012",513.3
"Angola","Avocados","Producer Price (US $/tonne)","US $/tonne","2013",707.5
"Angola","Avocados","Producer Price (US $/tonne)","US $/tonne","2014",694.8
"Angola","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",16000
"Angola","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",19400
"Angola","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",48000
"Angola","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",28690
"Angola","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",30360
"Angola","Bananas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",16000
"Angola","Bananas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",19400
"Angola","Bananas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",48000
"Angola","Bananas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",28690
"Angola","Bananas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",30360
"Angola","Bananas","Producer Price (US $/tonne)","US $/tonne","2010",174.121232
"Angola","Bananas","Producer Price (US $/tonne)","US $/tonne","2011",206.5
"Angola","Bananas","Producer Price (US $/tonne)","US $/tonne","2012",502.8
"Angola","Bananas","Producer Price (US $/tonne)","US $/tonne","2013",297.2
"Angola","Bananas","Producer Price (US $/tonne)","US $/tonne","2014",309.3
"Angola","Beans, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",133600
"Angola","Beans, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",147400
"Angola","Beans, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",219000
"Angola","Beans, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",147480
"Angola","Beans, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",143530
"Angola","Beans, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",133600
"Angola","Beans, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",147400
"Angola","Beans, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",219000
"Angola","Beans, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",147480
"Angola","Beans, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",143530
"Angola","Beans, dry","Producer Price (US $/tonne)","US $/tonne","2010",1453.912286
"Angola","Beans, dry","Producer Price (US $/tonne)","US $/tonne","2011",1569.2
"Angola","Beans, dry","Producer Price (US $/tonne)","US $/tonne","2012",2294
"Angola","Beans, dry","Producer Price (US $/tonne)","US $/tonne","2013",1528
"Angola","Beans, dry","Producer Price (US $/tonne)","US $/tonne","2014",1462.1
"Angola","Cabbages and other brassicas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",43350
"Angola","Cabbages and other brassicas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",43350
"Angola","Cabbages and other brassicas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",43350
"Angola","Cabbages and other brassicas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",43350
"Angola","Cabbages and other brassicas","Producer Price (US $/tonne)","US $/tonne","2013",449.1
"Angola","Cabbages and other brassicas","Producer Price (US $/tonne)","US $/tonne","2014",441.6
"Angola","Carrots and turnips","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",78480
"Angola","Carrots and turnips","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",78480
"Angola","Carrots and turnips","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",78480
"Angola","Carrots and turnips","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",78480
"Angola","Carrots and turnips","Producer Price (US $/tonne)","US $/tonne","2013",813.1
"Angola","Carrots and turnips","Producer Price (US $/tonne)","US $/tonne","2014",799.4
"Angola","Cassava","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",30500
"Angola","Cassava","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",28900
"Angola","Cassava","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",39900
"Angola","Cassava","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",28960
"Angola","Cassava","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",23000
"Angola","Cassava","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",30500
"Angola","Cassava","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",28900
"Angola","Cassava","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",39900
"Angola","Cassava","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",28960
"Angola","Cassava","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",23000
"Angola","Cassava","Producer Price (US $/tonne)","US $/tonne","2010",331.918598
"Angola","Cassava","Producer Price (US $/tonne)","US $/tonne","2011",307.7
"Angola","Cassava","Producer Price (US $/tonne)","US $/tonne","2012",417.9
"Angola","Cassava","Producer Price (US $/tonne)","US $/tonne","2013",300
"Angola","Cassava","Producer Price (US $/tonne)","US $/tonne","2014",234.3
"Angola","Chillies and peppers, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",42250
"Angola","Chillies and peppers, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",42250
"Angola","Chillies and peppers, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",42250
"Angola","Chillies and peppers, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",42250
"Angola","Chillies and peppers, dry","Producer Price (US $/tonne)","US $/tonne","2013",437.7
"Angola","Chillies and peppers, dry","Producer Price (US $/tonne)","US $/tonne","2014",430.4
"Angola","Coffee, green","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",47000
"Angola","Coffee, green","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",66000
"Angola","Coffee, green","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",47000
"Angola","Coffee, green","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",66000
"Angola","Coffee, green","Producer Price (US $/tonne)","US $/tonne","2010",511.481119
"Angola","Coffee, green","Producer Price (US $/tonne)","US $/tonne","2011",702.6
"Angola","Garlic","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",102170
"Angola","Garlic","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",102170
"Angola","Garlic","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",102170
"Angola","Garlic","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",102170
"Angola","Garlic","Producer Price (US $/tonne)","US $/tonne","2013",1058.6
"Angola","Garlic","Producer Price (US $/tonne)","US $/tonne","2014",1040.8
"Angola","Groundnuts, with shell","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",95500
"Angola","Groundnuts, with shell","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",92500
"Angola","Groundnuts, with shell","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",120000
"Angola","Groundnuts, with shell","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",81830
"Angola","Groundnuts, with shell","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",82370
"Angola","Groundnuts, with shell","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",95500
"Angola","Groundnuts, with shell","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",92500
"Angola","Groundnuts, with shell","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",120000
"Angola","Groundnuts, with shell","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",81830
"Angola","Groundnuts, with shell","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",82370
"Angola","Groundnuts, with shell","Producer Price (US $/tonne)","US $/tonne","2010",1039.286103
"Angola","Groundnuts, with shell","Producer Price (US $/tonne)","US $/tonne","2011",984.7
"Angola","Groundnuts, with shell","Producer Price (US $/tonne)","US $/tonne","2012",1257
"Angola","Groundnuts, with shell","Producer Price (US $/tonne)","US $/tonne","2013",847.8
"Angola","Groundnuts, with shell","Producer Price (US $/tonne)","US $/tonne","2014",839.1
"Angola","Lemons and limes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",107500
"Angola","Lemons and limes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",109000
"Angola","Lemons and limes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",61000
"Angola","Lemons and limes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",120150
"Angola","Lemons and limes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",120150
"Angola","Lemons and limes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",107500
"Angola","Lemons and limes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",109000
"Angola","Lemons and limes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",61000
"Angola","Lemons and limes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",120150
"Angola","Lemons and limes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",120150
"Angola","Lemons and limes","Producer Price (US $/tonne)","US $/tonne","2010",1169.877027
"Angola","Lemons and limes","Producer Price (US $/tonne)","US $/tonne","2011",1160.4
"Angola","Lemons and limes","Producer Price (US $/tonne)","US $/tonne","2012",639
"Angola","Lemons and limes","Producer Price (US $/tonne)","US $/tonne","2013",1244.8
"Angola","Lemons and limes","Producer Price (US $/tonne)","US $/tonne","2014",1223.9
"Angola","Maize","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",40500
"Angola","Maize","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",37400
"Angola","Maize","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",66200
"Angola","Maize","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",37420
"Angola","Maize","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",37830
"Angola","Maize","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",40500
