"Country","Indicator","Unit","Date","Value"
"World Total","Population (000 at mid-year)","000 at mid-year","2007",6616689.01143536
"World Total","Population (000 at mid-year)","000 at mid-year","2008",6694832.02144162
"World Total","Population (000 at mid-year)","000 at mid-year","2009",6764086
"World Total","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2007",49411106
"World Total","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2008",50973935
"World Total","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2007",7467.64823231147
"World Total","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2008",7613.9229239427
"Austria","Population (000 at mid-year)","000 at mid-year","2007",8199.783
"Austria","Population (000 at mid-year)","000 at mid-year","2008",8205.533
"Austria","Population (000 at mid-year)","000 at mid-year","2009",8210
"Austria","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2007",194122
"Austria","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2008",198004
"Austria","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2007",23674.0411301128
"Austria","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2008",24130.5470345436
"Belgium","Population (000 at mid-year)","000 at mid-year","2007",10392.226
"Belgium","Population (000 at mid-year)","000 at mid-year","2008",10403.951
"Belgium","Population (000 at mid-year)","000 at mid-year","2009",10414
"Belgium","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2007",243666
"Belgium","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2008",246103
"Belgium","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2007",23446.9496718027
"Belgium","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2008",23654.76346438
"Denmark","Population (000 at mid-year)","000 at mid-year","2007",5468.12
"Denmark","Population (000 at mid-year)","000 at mid-year","2008",5484.723
"Denmark","Population (000 at mid-year)","000 at mid-year","2009",5501
"Denmark","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2007",136677
"Denmark","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2008",135037
"Denmark","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2007",24995.2451665289
"Denmark","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2008",24620.5688053891
"Finland","Population (000 at mid-year)","000 at mid-year","2007",5238.46
"Finland","Population (000 at mid-year)","000 at mid-year","2008",5244.749
"Finland","Population (000 at mid-year)","000 at mid-year","2009",5250
"Finland","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2007",126412
"Finland","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2008",127676
"Finland","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2007",24131.5195687282
"Finland","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2008",24343.5863184301
"France","Population (000 at mid-year)","000 at mid-year","2007",63682
"France","Population (000 at mid-year)","000 at mid-year","2008",64058
"France","Population (000 at mid-year)","000 at mid-year","2009",64420
"France","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2007",1419304
"France","GDP Levels (million 1990 International Geary-Khamis dollars)","million 1990 International Geary-Khamis dollars","2008",1423562
"France","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2007",22287.3653465657
"France","Per Capita GDP (1990 International Geary-Khamis dollars)","1990 International Geary-Khamis dollars","2008",22223.0166411689
"Germany","Population (000 at mid-year)","000 at mid-year","2007",82400.996
"Germany","Population (000 at mid-year)","000 at mid-year","2008",82369.548
