"country","indicator","Unit","Date","Value"
"Afghanistan","Overall Score","score (100 represent the maximum freedom)","2017",48.9
"Afghanistan","Property Rights","score (100 represent the maximum freedom)","2017",12.6
"Afghanistan","Government Integrity","score (100 represent the maximum freedom)","2013",15
"Afghanistan","Government Integrity","score (100 represent the maximum freedom)","2014",10
"Afghanistan","Government Integrity","score (100 represent the maximum freedom)","2015",8
"Afghanistan","Government Integrity","score (100 represent the maximum freedom)","2016",12
"Afghanistan","Government Integrity","score (100 represent the maximum freedom)","2017",27.5
"Afghanistan","Judicial Effectiveness","score (100 represent the maximum freedom)","2017",28.4
"Afghanistan","Tax Burden","score (100 represent the maximum freedom)","2014",91.2
"Afghanistan","Tax Burden","score (100 represent the maximum freedom)","2015",91.7
"Afghanistan","Tax Burden","score (100 represent the maximum freedom)","2016",91.6
"Afghanistan","Tax Burden","score (100 represent the maximum freedom)","2017",91.6
"Afghanistan","Government Spending","score (100 represent the maximum freedom)","2013",83.2
"Afghanistan","Government Spending","score (100 represent the maximum freedom)","2014",84.2
"Afghanistan","Government Spending","score (100 represent the maximum freedom)","2015",81.2
"Afghanistan","Government Spending","score (100 represent the maximum freedom)","2016",81.2
"Afghanistan","Government Spending","score (100 represent the maximum freedom)","2017",79.9
"Afghanistan","Fiscal Health","score (100 represent the maximum freedom)","2017",97.3
"Afghanistan","Business Freedom","score (100 represent the maximum freedom)","2013",59.7
"Afghanistan","Business Freedom","score (100 represent the maximum freedom)","2014",63.1
"Afghanistan","Business Freedom","score (100 represent the maximum freedom)","2015",61.4
"Afghanistan","Business Freedom","score (100 represent the maximum freedom)","2016",56.6
"Afghanistan","Business Freedom","score (100 represent the maximum freedom)","2017",54.2
"Afghanistan","Labor Freedom","score (100 represent the maximum freedom)","2013",75.8
"Afghanistan","Labor Freedom","score (100 represent the maximum freedom)","2014",75
"Afghanistan","Labor Freedom","score (100 represent the maximum freedom)","2015",67.5
"Afghanistan","Labor Freedom","score (100 represent the maximum freedom)","2016",63.2
"Afghanistan","Labor Freedom","score (100 represent the maximum freedom)","2017",59.9
"Afghanistan","Monetary Freedom","score (100 represent the maximum freedom)","2013",69.5
"Afghanistan","Monetary Freedom","score (100 represent the maximum freedom)","2014",74.3
"Afghanistan","Monetary Freedom","score (100 represent the maximum freedom)","2015",72.6
"Afghanistan","Monetary Freedom","score (100 represent the maximum freedom)","2017",69.3
"Afghanistan","Trade Freedom","score (100 represent the maximum freedom)","2017",66
"Afghanistan","Investment Freedom","score (100 represent the maximum freedom)","2013",65
"Afghanistan","Investment Freedom","score (100 represent the maximum freedom)","2014",65
"Afghanistan","Investment Freedom","score (100 represent the maximum freedom)","2015",55
"Afghanistan","Investment Freedom","score (100 represent the maximum freedom)","2016",55
"Afghanistan","Investment Freedom","score (100 represent the maximum freedom)","2017",0
"Afghanistan","Financial Freedom","score (100 represent the maximum freedom)","2017",0
"Australia","Overall Score","score (100 represent the maximum freedom)","1995",74.1
"Australia","Overall Score","score (100 represent the maximum freedom)","1996",74
"Australia","Overall Score","score (100 represent the maximum freedom)","1997",75.5
"Australia","Overall Score","score (100 represent the maximum freedom)","1998",75.6
"Australia","Overall Score","score (100 represent the maximum freedom)","1999",76.4
"Australia","Overall Score","score (100 represent the maximum freedom)","2000",77.1
"Australia","Overall Score","score (100 represent the maximum freedom)","2001",77.4
"Australia","Overall Score","score (100 represent the maximum freedom)","2002",77.3
"Australia","Overall Score","score (100 represent the maximum freedom)","2003",77.4
"Australia","Overall Score","score (100 represent the maximum freedom)","2004",77.9
"Australia","Overall Score","score (100 represent the maximum freedom)","2005",79
"Australia","Overall Score","score (100 represent the maximum freedom)","2006",79.9
"Australia","Overall Score","score (100 represent the maximum freedom)","2007",81.1
"Australia","Overall Score","score (100 represent the maximum freedom)","2008",82.2
"Australia","Overall Score","score (100 represent the maximum freedom)","2009",82.6
"Australia","Overall Score","score (100 represent the maximum freedom)","2010",82.6
"Australia","Overall Score","score (100 represent the maximum freedom)","2011",82.5
"Australia","Overall Score","score (100 represent the maximum freedom)","2012",83.1
"Australia","Overall Score","score (100 represent the maximum freedom)","2013",82.6
"Australia","Overall Score","score (100 represent the maximum freedom)","2014",82
"Australia","Overall Score","score (100 represent the maximum freedom)","2015",81.4
"Australia","Overall Score","score (100 represent the maximum freedom)","2016",80.3
"Australia","Overall Score","score (100 represent the maximum freedom)","2017",81
"Australia","Property Rights","score (100 represent the maximum freedom)","1995",90
"Australia","Property Rights","score (100 represent the maximum freedom)","1996",90
"Australia","Property Rights","score (100 represent the maximum freedom)","1997",90
"Australia","Property Rights","score (100 represent the maximum freedom)","1998",90
"Australia","Property Rights","score (100 represent the maximum freedom)","1999",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2000",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2001",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2002",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2003",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2004",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2005",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2006",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2007",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2008",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2009",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2010",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2011",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2012",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2013",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2014",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2015",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2016",90
"Australia","Property Rights","score (100 represent the maximum freedom)","2017",81.7
"Australia","Government Integrity","score (100 represent the maximum freedom)","1995",70
"Australia","Government Integrity","score (100 represent the maximum freedom)","1996",70
"Australia","Government Integrity","score (100 represent the maximum freedom)","1997",88
"Australia","Government Integrity","score (100 represent the maximum freedom)","1998",86
"Australia","Government Integrity","score (100 represent the maximum freedom)","1999",89
"Australia","Government Integrity","score (100 represent the maximum freedom)","2000",87
"Australia","Government Integrity","score (100 represent the maximum freedom)","2001",87
"Australia","Government Integrity","score (100 represent the maximum freedom)","2002",83
"Australia","Government Integrity","score (100 represent the maximum freedom)","2003",85
"Australia","Government Integrity","score (100 represent the maximum freedom)","2004",86
"Australia","Government Integrity","score (100 represent the maximum freedom)","2005",88
"Australia","Government Integrity","score (100 represent the maximum freedom)","2006",88
"Australia","Government Integrity","score (100 represent the maximum freedom)","2007",88
"Australia","Government Integrity","score (100 represent the maximum freedom)","2008",87
"Australia","Government Integrity","score (100 represent the maximum freedom)","2009",86
"Australia","Government Integrity","score (100 represent the maximum freedom)","2010",87
"Australia","Government Integrity","score (100 represent the maximum freedom)","2011",87
"Australia","Government Integrity","score (100 represent the maximum freedom)","2012",87
"Australia","Government Integrity","score (100 represent the maximum freedom)","2013",88
"Australia","Government Integrity","score (100 represent the maximum freedom)","2014",87.7
"Australia","Government Integrity","score (100 represent the maximum freedom)","2015",81
"Australia","Government Integrity","score (100 represent the maximum freedom)","2016",80
"Australia","Government Integrity","score (100 represent the maximum freedom)","2017",74.8
"Australia","Judicial Effectiveness","score (100 represent the maximum freedom)","2017",92.9
"Australia","Tax Burden","score (100 represent the maximum freedom)","1995",59.6
"Australia","Tax Burden","score (100 represent the maximum freedom)","1996",59.3
"Australia","Tax Burden","score (100 represent the maximum freedom)","1997",56.6
"Australia","Tax Burden","score (100 represent the maximum freedom)","1998",56.1
"Australia","Tax Burden","score (100 represent the maximum freedom)","1999",55.7
"Australia","Tax Burden","score (100 represent the maximum freedom)","2000",55.8
"Australia","Tax Burden","score (100 represent the maximum freedom)","2001",55.4
"Australia","Tax Burden","score (100 represent the maximum freedom)","2002",56.4
"Australia","Tax Burden","score (100 represent the maximum freedom)","2003",58.6
"Australia","Tax Burden","score (100 represent the maximum freedom)","2004",59.6
"Australia","Tax Burden","score (100 represent the maximum freedom)","2005",59.1
"Australia","Tax Burden","score (100 represent the maximum freedom)","2006",58.9
"Australia","Tax Burden","score (100 represent the maximum freedom)","2007",59.5
"Australia","Tax Burden","score (100 represent the maximum freedom)","2008",59.2
"Australia","Tax Burden","score (100 represent the maximum freedom)","2009",61.4
"Australia","Tax Burden","score (100 represent the maximum freedom)","2010",61.4
"Australia","Tax Burden","score (100 represent the maximum freedom)","2011",61.3
"Australia","Tax Burden","score (100 represent the maximum freedom)","2012",63.4
"Australia","Tax Burden","score (100 represent the maximum freedom)","2013",66.4
"Australia","Tax Burden","score (100 represent the maximum freedom)","2014",64.2
"Australia","Tax Burden","score (100 represent the maximum freedom)","2015",63.7
"Australia","Tax Burden","score (100 represent the maximum freedom)","2016",63.2
"Australia","Tax Burden","score (100 represent the maximum freedom)","2017",63.2
"Australia","Government Spending","score (100 represent the maximum freedom)","1995",53.9
"Australia","Government Spending","score (100 represent the maximum freedom)","1996",53.4
"Australia","Government Spending","score (100 represent the maximum freedom)","1997",55.1
"Australia","Government Spending","score (100 represent the maximum freedom)","1998",54.8
"Australia","Government Spending","score (100 represent the maximum freedom)","1999",56
"Australia","Government Spending","score (100 represent the maximum freedom)","2000",63.3
"Australia","Government Spending","score (100 represent the maximum freedom)","2001",67.3
"Australia","Government Spending","score (100 represent the maximum freedom)","2002",61.1
"Australia","Government Spending","score (100 represent the maximum freedom)","2003",58.9
"Australia","Government Spending","score (100 represent the maximum freedom)","2004",60.5
"Australia","Government Spending","score (100 represent the maximum freedom)","2005",60.9
"Australia","Government Spending","score (100 represent the maximum freedom)","2006",62.2
"Australia","Government Spending","score (100 represent the maximum freedom)","2007",62.6
"Australia","Government Spending","score (100 represent the maximum freedom)","2008",62.8
"Australia","Government Spending","score (100 represent the maximum freedom)","2009",64.3
"Australia","Government Spending","score (100 represent the maximum freedom)","2010",64.9
"Australia","Government Spending","score (100 represent the maximum freedom)","2011",64.7
"Australia","Government Spending","score (100 represent the maximum freedom)","2012",67.1
"Australia","Government Spending","score (100 represent the maximum freedom)","2013",62.8
"Australia","Government Spending","score (100 represent the maximum freedom)","2014",62.6
"Australia","Government Spending","score (100 represent the maximum freedom)","2015",61.8
"Australia","Government Spending","score (100 represent the maximum freedom)","2016",62
"Australia","Government Spending","score (100 represent the maximum freedom)","2017",59
"Australia","Fiscal Health","score (100 represent the maximum freedom)","2017",84.6
"Australia","Business Freedom","score (100 represent the maximum freedom)","1995",70
"Australia","Business Freedom","score (100 represent the maximum freedom)","1996",70
"Australia","Business Freedom","score (100 represent the maximum freedom)","1997",70
"Australia","Business Freedom","score (100 represent the maximum freedom)","1998",70
"Australia","Business Freedom","score (100 represent the maximum freedom)","1999",70
"Australia","Business Freedom","score (100 represent the maximum freedom)","2000",70
"Australia","Business Freedom","score (100 represent the maximum freedom)","2001",70
"Australia","Business Freedom","score (100 represent the maximum freedom)","2002",85
"Australia","Business Freedom","score (100 represent the maximum freedom)","2003",85
