"location","variable","Unit","Date","Value"
"Afghanistan","Fixed telephone lines","Number","2000",29000
"Afghanistan","Fixed telephone lines","Number","2001",29000
"Afghanistan","Fixed telephone lines","Number","2002",33050
"Afghanistan","Fixed telephone lines","Number","2003",36700
"Afghanistan","Fixed telephone lines","Number","2009",5130
"Afghanistan","Fixed telephone lines","Number","2010",16620
"Afghanistan","Fixed telephone lines","Number","2011",13509
"Afghanistan","Fixed telephone lines","Number","2012",90017
"Afghanistan","Fixed telephone lines","Number","2013",95769
"Afghanistan","Fixed telephone lines","Number","2014",101931
"Afghanistan","Fixed telephone lines","Number","2015",110000
"Afghanistan","Mobile cellular subscriptions","Number","2000",0
"Afghanistan","Mobile cellular subscriptions","Number","2001",0
"Afghanistan","Mobile cellular subscriptions","Number","2002",25000
"Afghanistan","Mobile cellular subscriptions","Number","2003",200000
"Afghanistan","Mobile cellular subscriptions","Number","2004",600000
"Afghanistan","Mobile cellular subscriptions","Number","2005",1200000
"Afghanistan","Mobile cellular subscriptions","Number","2006",2520366
"Afghanistan","Mobile cellular subscriptions","Number","2007",4668096
"Afghanistan","Mobile cellular subscriptions","Number","2008",7898909
"Afghanistan","Mobile cellular subscriptions","Number","2009",10500000
"Afghanistan","Mobile cellular subscriptions","Number","2010",10215840
"Afghanistan","Mobile cellular subscriptions","Number","2011",13797879
"Afghanistan","Mobile cellular subscriptions","Number","2012",15340115
"Afghanistan","Mobile cellular subscriptions","Number","2013",16807156
"Afghanistan","Mobile cellular subscriptions","Number","2014",18407168
"Afghanistan","Mobile cellular subscriptions","Number","2015",19709018
"Afghanistan","Fixed broadband subscriptions","Number","2004",200
"Afghanistan","Fixed broadband subscriptions","Number","2005",220
"Afghanistan","Fixed broadband subscriptions","Number","2006",500
"Afghanistan","Fixed broadband subscriptions","Number","2007",500
"Afghanistan","Fixed broadband subscriptions","Number","2008",500
"Afghanistan","Fixed broadband subscriptions","Number","2009",1000
"Afghanistan","Fixed broadband subscriptions","Number","2010",1500
"Afghanistan","Fixed broadband subscriptions","Number","2012",1500
"Afghanistan","Fixed broadband subscriptions","Number","2013",1500
"Afghanistan","Fixed broadband subscriptions","Number","2014",1500
"Afghanistan","Fixed broadband subscriptions","Number","2015",1500
