"Region","Indicator","Unit","Date","Value"
"Angola","Urban Population at mid-year","thousands","1990",3913
"Angola","Urban Population at mid-year","thousands","1995",5418
"Angola","Urban Population at mid-year","thousands","2000",6824
"Angola","Urban Population at mid-year","thousands","2005",8684
"Angola","Urban Population at mid-year","thousands","2007",9505
"Angola","Proportion of Urban Population Living in Slum Area","Percent","2005",86.5
"Angola","Proportion of Urban Population Living in Slum Area","Percent","2007",76.2
"Angola","Proportion of Urban Population Living in Slum Area","Percent","2009",65.8
"Angola","Urban Slum Population at mid-year","thousands","2005",7756
"Angola","Urban Slum Population at mid-year","thousands","2007",7466
"Angola","Urban Slum Population at mid-year","thousands","2009",7019
"Benin","Urban Population at mid-year","thousands","1990",1786
"Benin","Urban Population at mid-year","thousands","1995",2282
"Benin","Urban Population at mid-year","thousands","2000",2770
"Benin","Urban Population at mid-year","thousands","2005",3397
"Benin","Urban Population at mid-year","thousands","2007",3684
"Benin","Proportion of Urban Population Living in Slum Area","Percent","1990",79.3
"Benin","Proportion of Urban Population Living in Slum Area","Percent","1995",76.8
"Benin","Proportion of Urban Population Living in Slum Area","Percent","2000",74.3
"Benin","Proportion of Urban Population Living in Slum Area","Percent","2005",71.8
"Benin","Proportion of Urban Population Living in Slum Area","Percent","2007",70.8
"Benin","Proportion of Urban Population Living in Slum Area","Percent","2009",69.8
"Benin","Urban Slum Population at mid-year","thousands","1990",1311
"Benin","Urban Slum Population at mid-year","thousands","1995",1616
"Benin","Urban Slum Population at mid-year","thousands","2000",1897
"Benin","Urban Slum Population at mid-year","thousands","2005",2260
"Benin","Urban Slum Population at mid-year","thousands","2007",2423
"Benin","Urban Slum Population at mid-year","thousands","2009",2595
"Burkina Faso","Urban Population at mid-year","thousands","1990",1226
"Burkina Faso","Urban Population at mid-year","thousands","1995",1554
"Burkina Faso","Urban Population at mid-year","thousands","2000",1971
"Burkina Faso","Urban Population at mid-year","thousands","2005",2555
"Burkina Faso","Urban Population at mid-year","thousands","2007",2827
"Burkina Faso","Proportion of Urban Population Living in Slum Area","Percent","1990",78.8
