"country","indicator","Unit","Date","Value"
"Angola","Number of poor at $1.25 a day (PPP) (millions)","millions","2000",7.56263
"Angola","Number of poor at $1.25 a day (PPP) (millions)","millions","2008",7.942973
"Angola","Number of poor at $1.90 a day (2011 PPP) (millions)","millions","2000",1.575264
"Angola","Number of poor at $1.90 a day (2011 PPP) (millions)","millions","2008",5.977792
"Angola","Number of poor at $2 a day (PPP) (millions)","millions","2000",9.776693
"Angola","Number of poor at $2 a day (PPP) (millions)","millions","2008",12.347596
"Angola","Number of poor at $2.5 a day (PPP) (millions)","millions","2000",10.705486
"Angola","Number of poor at $2.5 a day (PPP) (millions)","millions","2008",14.118603
"Angola","Number of poor at $3.10 a day (2011 PPP) (millions)","millions","2000",2.6474
"Angola","Number of poor at $3.10 a day (2011 PPP) (millions)","millions","2008",10.816768
"Angola","Number of poor at $4 a day (PPP) (millions)","millions","2000",12.223304
"Angola","Number of poor at $4 a day (PPP) (millions)","millions","2008",16.596546
"Angola","Number of poor at $5 a day (PPP) (millions)","millions","2000",12.719031
"Angola","Number of poor at $5 a day (PPP) (millions)","millions","2008",17.244878
"Angola","Poverty gap at $1.25 a day (PPP) (%)","%","2000",29.94
"Angola","Poverty gap at $1.25 a day (PPP) (%)","%","2008",16.45
"Angola","Poverty gap at $1.90 a day (2011 PPP) (%)","%","2000",14.65
"Angola","Poverty gap at $1.90 a day (2011 PPP) (%)","%","2008",9.64
"Angola","Poverty gap at $2 a day (PPP) (%)","%","2000",42.35
"Angola","Poverty gap at $2 a day (PPP) (%)","%","2008",31.47
"Angola","Poverty gap at $2.5 a day (PPP) (%)","%","2000",48.61
"Angola","Poverty gap at $2.5 a day (PPP) (%)","%","2008",39.68
"Angola","Poverty gap at $3.10 a day (2011 PPP) (%)","%","2000",25.99
"Angola","Poverty gap at $3.10 a day (2011 PPP) (%)","%","2008",22.54
"Angola","Poverty gap at $4 a day (PPP) (%)","%","2000",61.57
"Angola","Poverty gap at $4 a day (PPP) (%)","%","2008",56.75
"Angola","Poverty gap at $5 a day (PPP) (%)","%","2000",67.2
"Angola","Poverty gap at $5 a day (PPP) (%)","%","2008",63.91
"Angola","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","% of population","2000",54.31
"Angola","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","% of population","2008",43.37
"Angola","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","% of population","2000",32.28
"Angola","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","% of population","2008",30.13
"Angola","Poverty headcount ratio at $2 a day (PPP) (% of population)","% of population","2000",70.21
"Angola","Poverty headcount ratio at $2 a day (PPP) (% of population)","% of population","2008",67.42
"Angola","Poverty headcount ratio at $2.5 a day (PPP) (% of population)","% of population","2000",76.88
"Angola","Poverty headcount ratio at $2.5 a day (PPP) (% of population)","% of population","2008",77.09
"Angola","Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population)","% of population","2000",54.25
"Angola","Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population)","% of population","2008",54.52
"Angola","Poverty headcount ratio at $4 a day (PPP) (% of population)","% of population","2000",87.78
"Angola","Poverty headcount ratio at $4 a day (PPP) (% of population)","% of population","2008",90.62
"Angola","Poverty headcount ratio at $5 a day (PPP) (% of population)","% of population","2000",91.34
"Angola","Poverty headcount ratio at $5 a day (PPP) (% of population)","% of population","2008",94.16
"Angola","Urban poverty headcount ratio at national poverty lines (% of urban population)","% of urban population","2008",18.7
"Angola","Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values","% of urban population","1995",61.1
"Angola","Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values","% of urban population","2000",62.3
"Angola","Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values","% of urban population","2008",18.7
"Angola","Poverty gap at national poverty line (%)","%","2008",12.7
"Angola","Poverty gap at national poverty line (%), including noncomparable values","%","2008",12.7
"Angola","Poverty gap at rural poverty line (%)","%","2008",21.6
"Angola","Poverty gap at rural poverty line (%), including noncomparable values","%","2008",21.6
"Angola","Poverty gap at urban poverty line (%)","%","2008",5.3
"Angola","Poverty gap at urban poverty line (%), including noncomparable values","%","1995",25.6
"Angola","Poverty gap at urban poverty line (%), including noncomparable values","%","2000",31.1
"Angola","Poverty gap at urban poverty line (%), including noncomparable values","%","2008",5.3
"Angola","Poverty headcount ratio at national poverty line (% of population)","% of population","2008",36.6
"Angola","Poverty headcount ratio at national poverty line (% of population), including noncomparable values","% of population","2008",36.6
"Angola","Poverty headcount ratio at rural poverty line (% of rural population)","% of rural population","2008",58.3
"Angola","Poverty headcount ratio at rural poverty line (% of rural population), including noncomparable values","% of rural population","2008",58.3
"Angola","Poverty headcount ratio at urban poverty line (% of urban population)","% of urban population","2008",18.7
"Angola","Poverty headcount ratio at urban poverty line (% of urban population), including noncomparable values","% of urban population","1995",61.1
"Angola","Poverty headcount ratio at urban poverty line (% of urban population), including noncomparable values","% of urban population","2000",62.3
"Angola","Poverty headcount ratio at urban poverty line (% of urban population), including noncomparable values","% of urban population","2008",18.7
"Angola","Rural poverty gap at national poverty line (%)","%","2008",21.6
"Angola","Rural poverty gap at national poverty line (%), including noncomparable values","%","2008",21.6
"Angola","Rural poverty headcount ratio at national poverty lines (% of rural population)","% of rural population","2008",58.3
"Angola","Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values","% of rural population","2008",58.3
"Angola","Urban poverty gap at national poverty lines (%)","%","2008",5.3
"Angola","Urban poverty gap at national poverty lines (%), including noncomparable values","%","1995",25.6
"Angola","Urban poverty gap at national poverty lines (%), including noncomparable values","%","2000",31.1
"Angola","Urban poverty gap at national poverty lines (%), including noncomparable values","%","2008",5.3
