"country","indicator","Unit","Date","Value"
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2007",102
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2008",107
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2009",111
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2010",107
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2011",124
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2012",124
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2013",132
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2014",170
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2015",172
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2016",174
"Bangladesh","Ease of Doing Business Rank","Rank=1, High Ease of doing Business","2017",176
"Bangladesh","Dealing with Construction Permits - Rank","Rank=1, High Ease of Dealing with Construction Permits","2012",83
"Bangladesh","Dealing with Construction Permits - Rank","Rank=1, High Ease of Dealing with Construction Permits","2013",80
"Bangladesh","Dealing with Construction Permits - Rank","Rank=1, High Ease of Dealing with Construction Permits","2014",142
"Bangladesh","Dealing with Construction Permits - Rank","Rank=1, High Ease of Dealing with Construction Permits","2015",118
"Bangladesh","Dealing with Construction Permits - Rank","Rank=1, High Ease of Dealing with Construction Permits","2016",118
"Bangladesh","Dealing with Construction Permits - Rank","Rank=1, High Ease of Dealing with Construction Permits","2017",138
"Bangladesh","Enforcing Contracts - Rank","Rank=1, High Ease of Enforcing Contracts","2012",182
"Bangladesh","Enforcing Contracts - Rank","Rank=1, High Ease of Enforcing Contracts","2013",185
"Bangladesh","Enforcing Contracts - Rank","Rank=1, High Ease of Enforcing Contracts","2014",188
"Bangladesh","Enforcing Contracts - Rank","Rank=1, High Ease of Enforcing Contracts","2015",188
"Bangladesh","Enforcing Contracts - Rank","Rank=1, High Ease of Enforcing Contracts","2016",188
"Bangladesh","Enforcing Contracts - Rank","Rank=1, High Ease of Enforcing Contracts","2017",189
"Bangladesh","Getting Credit - Rank","Rank=1, High Ease of Getting Credit","2012",80
"Bangladesh","Getting Credit - Rank","Rank=1, High Ease of Getting Credit","2013",82
"Bangladesh","Getting Credit - Rank","Rank=1, High Ease of Getting Credit","2014",125
"Bangladesh","Getting Credit - Rank","Rank=1, High Ease of Getting Credit","2015",128
"Bangladesh","Getting Credit - Rank","Rank=1, High Ease of Getting Credit","2016",133
"Bangladesh","Getting Credit - Rank","Rank=1, High Ease of Getting Credit","2017",157
"Bangladesh","Getting Electricity - Rank","Rank=1, High Ease of Getting Electricity","2012",185
"Bangladesh","Getting Electricity - Rank","Rank=1, High Ease of Getting Electricity","2013",189
"Bangladesh","Getting Electricity - Rank","Rank=1, High Ease of Getting Electricity","2014",189
"Bangladesh","Getting Electricity - Rank","Rank=1, High Ease of Getting Electricity","2015",189
"Bangladesh","Getting Electricity - Rank","Rank=1, High Ease of Getting Electricity","2016",189
"Bangladesh","Getting Electricity - Rank","Rank=1, High Ease of Getting Electricity","2017",187
"Bangladesh","Paying Taxes - Rank","Rank=1, High Ease of Paying Taxes","2012",95
"Bangladesh","Paying Taxes - Rank","Rank=1, High Ease of Paying Taxes","2013",98
"Bangladesh","Paying Taxes - Rank","Rank=1, High Ease of Paying Taxes","2014",78
"Bangladesh","Paying Taxes - Rank","Rank=1, High Ease of Paying Taxes","2015",85
"Bangladesh","Paying Taxes - Rank","Rank=1, High Ease of Paying Taxes","2016",86
"Bangladesh","Paying Taxes - Rank","Rank=1, High Ease of Paying Taxes","2017",151
"Bangladesh","Protecting Minority Investors - Rank","Rank=1, High Ease of Protecting Minority Investors","2012",24
"Bangladesh","Protecting Minority Investors - Rank","Rank=1, High Ease of Protecting Minority Investors","2013",21
"Bangladesh","Protecting Minority Investors - Rank","Rank=1, High Ease of Protecting Minority Investors","2014",43
"Bangladesh","Protecting Minority Investors - Rank","Rank=1, High Ease of Protecting Minority Investors","2015",87
"Bangladesh","Protecting Minority Investors - Rank","Rank=1, High Ease of Protecting Minority Investors","2016",88
"Bangladesh","Protecting Minority Investors - Rank","Rank=1, High Ease of Protecting Minority Investors","2017",70
"Bangladesh","Registering Property - Rank","Rank=1, High Ease of Registering Property","2012",175
"Bangladesh","Registering Property - Rank","Rank=1, High Ease of Registering Property","2013",177
"Bangladesh","Registering Property - Rank","Rank=1, High Ease of Registering Property","2014",183
"Bangladesh","Registering Property - Rank","Rank=1, High Ease of Registering Property","2015",184
"Bangladesh","Registering Property - Rank","Rank=1, High Ease of Registering Property","2016",185
"Bangladesh","Registering Property - Rank","Rank=1, High Ease of Registering Property","2017",185
"Bangladesh","Resolving Insolvency - Rank","Rank=1, High Ease of Resolving Insolvency","2012",116
"Bangladesh","Resolving Insolvency - Rank","Rank=1, High Ease of Resolving Insolvency","2013",121
"Bangladesh","Resolving Insolvency - Rank","Rank=1, High Ease of Resolving Insolvency","2014",146
"Bangladesh","Resolving Insolvency - Rank","Rank=1, High Ease of Resolving Insolvency","2015",155
"Bangladesh","Resolving Insolvency - Rank","Rank=1, High Ease of Resolving Insolvency","2016",155
"Bangladesh","Resolving Insolvency - Rank","Rank=1, High Ease of Resolving Insolvency","2017",151
"Bangladesh","Starting a Business - Rank","Rank=1, High Ease of Starting a Business","2012",89
"Bangladesh","Starting a Business - Rank","Rank=1, High Ease of Starting a Business","2013",83
"Bangladesh","Starting a Business - Rank","Rank=1, High Ease of Starting a Business","2014",111
"Bangladesh","Starting a Business - Rank","Rank=1, High Ease of Starting a Business","2015",111
"Bangladesh","Starting a Business - Rank","Rank=1, High Ease of Starting a Business","2016",117
"Bangladesh","Starting a Business - Rank","Rank=1, High Ease of Starting a Business","2017",122
"Bangladesh","Trading Across Borders - Rank","Rank=1, High Ease of Trading Across Borders","2012",120
"Bangladesh","Trading Across Borders - Rank","Rank=1, High Ease of Trading Across Borders","2013",126
"Bangladesh","Trading Across Borders - Rank","Rank=1, High Ease of Trading Across Borders","2014",140
"Bangladesh","Trading Across Borders - Rank","Rank=1, High Ease of Trading Across Borders","2015",172
"Bangladesh","Trading Across Borders - Rank","Rank=1, High Ease of Trading Across Borders","2016",172
"Bangladesh","Trading Across Borders - Rank","Rank=1, High Ease of Trading Across Borders","2017",173
"Bangladesh","Overall Distance to Frontier (DTF)","score, 0= Lowest performance & 100= The frontier","2010",44.07
"Bangladesh","Overall Distance to Frontier (DTF)","score, 0= Lowest performance & 100= The frontier","2011",46.5
"Bangladesh","Overall Distance to Frontier (DTF)","score, 0= Lowest performance & 100= The frontier","2012",43.99
"Bangladesh","Overall Distance to Frontier (DTF)","score, 0= Lowest performance & 100= The frontier","2013",43.56
"Bangladesh","Overall Distance to Frontier (DTF)","score, 0= Lowest performance & 100= The frontier","2014",45.57
"Bangladesh","Overall Distance to Frontier (DTF)","score, 0= Lowest performance & 100= The frontier","2015",40.67
"Bangladesh","Overall Distance to Frontier (DTF)","score, 0= Lowest performance & 100= The frontier","2016",40.68
"Bangladesh","Overall Distance to Frontier (DTF)","score, 0= Lowest performance & 100= The frontier","2017",40.84
"Bangladesh","Dealing with Construction Permits - Cost (% of income per capita)","% of income per capita","2006",294.7
"Bangladesh","Dealing with Construction Permits - Cost (% of income per capita)","% of income per capita","2007",273.2
"Bangladesh","Dealing with Construction Permits - Cost (% of income per capita)","% of income per capita","2008",239.2
