"Region","Indicator","Unit","Date","Value"
"Afghanistan","Mining, oil & gas","Index","2010",100
"Afghanistan","Agriculture & forestry","Index","2010",100
"Afghanistan","Light manufacturing","Index","2010",100
"Afghanistan","Telecom","Index","2010",100
"Afghanistan","Electricity","Index","2010",100
"Afghanistan","Banking","Index","2010",100
"Afghanistan","Insurance","Index","2010",100
"Afghanistan","Transport","Index","2010",100
"Afghanistan","Media","Index","2010",100
"Afghanistan","Construction, tourism & retail","Index","2010",100
"Afghanistan","Health care & waste management","Index","2010",100
"Afghanistan","Procedures","Number","2010",4
"Afghanistan","Time","days","2010",7
"Afghanistan","Ease of establishment index","0-100","2010",68.4
"Afghanistan","Strength of lease rights index","0-100","2010",73.3
"Afghanistan","Access to land information index","0-100","2010",9.1
"Afghanistan","Availability of land information index","0-100","2010",0
"Afghanistan","Time to lease private land","days","2010",218
"Afghanistan","Time to lease public land","days","2010",301
"Afghanistan","Strength of laws index","0-100","2010",68.1
"Afghanistan","Ease of process index","0-100","2010",0
"Afghanistan","Extent of judicial assistance index","0-100","2010",0
"Albania","Mining, oil & gas","Index","2010",100
"Albania","Agriculture & forestry","Index","2010",100
"Albania","Light manufacturing","Index","2010",100
"Albania","Telecom","Index","2010",100
"Albania","Electricity","Index","2010",100
"Albania","Banking","Index","2010",100
"Albania","Insurance","Index","2010",100
"Albania","Transport","Index","2010",79.6
"Albania","Media","Index","2010",70
"Albania","Construction, tourism & retail","Index","2010",100
"Albania","Health care & waste management","Index","2010",100
"Albania","Procedures","Number","2010",7
"Albania","Time","days","2010",7
"Albania","Ease of establishment index","0-100","2010",84.2
"Albania","Strength of lease rights index","0-100","2010",80.7
"Albania","Strength of ownership rights index","0-100","2010",100
"Albania","Access to land information index","0-100","2010",47.4
"Albania","Availability of land information index","0-100","2010",85
"Albania","Time to lease private land","days","2010",36
"Albania","Time to lease public land","days","2010",129
"Albania","Strength of laws index","0-100","2010",84
"Albania","Ease of process index","0-100","2010",40.7
"Albania","Extent of judicial assistance index","0-100","2010",68.5
"Angola","Mining, oil & gas","Index","2010",74.5
"Angola","Agriculture & forestry","Index","2010",100
"Angola","Light manufacturing","Index","2010",82.5
"Angola","Telecom","Index","2010",75
"Angola","Electricity","Index","2010",100
"Angola","Banking","Index","2010",10
"Angola","Insurance","Index","2010",50
"Angola","Media","Index","2010",30
"Angola","Construction, tourism & retail","Index","2010",100
"Angola","Health care & waste management","Index","2010",100
"Angola","Procedures","Number","2010",12
"Angola","Time","days","2010",263
"Angola","Ease of establishment index","0-100","2010",39.5
"Angola","Strength of lease rights index","0-100","2010",87.9
"Angola","Strength of ownership rights index","0-100","2010",75
"Angola","Access to land information index","0-100","2010",36.8
"Angola","Availability of land information index","0-100","2010",60
"Angola","Time to lease private land","days","2010",40
"Angola","Time to lease public land","days","2010",129
"Angola","Strength of laws index","0-100","2010",74.9
"Angola","Ease of process index","0-100","2010",57.3
"Angola","Extent of judicial assistance index","0-100","2010",59.9
"Argentina","Mining, oil & gas","Index","2010",100
